power,thrust,pwm_val
0.16563995658555752,-57.13451178451179,1353
0.7000745135270919,-385.5057239057239,1767
0.5703665516911406,-289.5754208754209,1667
0.6208645669215731,-333.79814814814813,1706
0.8242132484434055,-345.2026936026936,1863
0.3629694009068991,-160.95420875420876,1506
0.3894851579008215,-173.13148148148147,1526
0.5286885192748193,-245.41936026936028,1634
0.4063460413487676,-182.05117845117846,1539
0.40492825286664647,-184.4087542087542,1538
0.8135482340380414,-339.0345117845118,1855
0.4747265267787799,-222.29208754208756,1592
0.6114581658210777,-308.92845117845116,1698
0.7800722042694577,-345.65117845117845,1829
0.46367587231560736,-206.54208754208756,1584
0.17209384012882933,-53.487542087542096,1358
0.9111948440074986,-340.5572390572391,1931
0.37901454197795714,-169.8996632996633,1518
0.098813044272549,-21.929966329966334,1301
0.7597974634831811,-351.2239057239057,1813
0.2447843177148742,-89.41481481481482,1414
0.5506533080668685,-266.11329966329964,1651
0.5355855198676356,-257.58905723905724,1640
0.07982200169790932,-11.43451178451179,1286
0.5656088105584595,-274.5996632996633,1663
0.9808601676251694,-335.9239057239057,1985
0.2627026703253921,-102.90723905723907,1428
0.45953571824741546,-213.16026936026935,1581
0.37407399426069665,-161.5814814814815,1514
0.8102401332087421,-341.95117845117846,1852
0.2886384443888811,-121.28299663299664,1448
0.5877121366918832,-296.71936026936027,1680
0.42625632242388034,-196.57693602693604,1555
0.9282715413775041,-339.42542087542085,1944
0.48348805301567843,-221.70875420875421,1599
0.3802995863783383,-167.20420875420876,1519
0.16420189896950976,-48.596632996633005,1352
0.590557410126442,-299.3557239057239,1682
0.5638919918062228,-277.2648148148148,1662
0.5653722618202119,-271.12087542087545,1663
0.8138206633648007,-338.2526936026936,1855
0.34591494614119633,-149.10723905723907,1493
0.8073975590155559,-339.696632996633,1850
0.5305603098661271,-249.21481481481482,1636
0.13167822928703998,-32.51481481481482,1327
0.578364115681229,-285.7648148148148,1673
0.6880984318912688,-387.5254208754209,1758
0.6472870888534551,-350.1496632996633,1726
0.3314394939263442,-138.97693602693604,1481
0.9958707811793213,-338.1678451178451,1996
0.27368342796424827,-107.22996632996633,1437
0.6754601109603775,-373.80875420875424,1748
0.8193144756019594,-341.0102693602694,1859
0.7094766960588599,-385.44208754208756,1774
0.2783533841835363,-111.72390572390573,1440
0.1203735316993616,-28.076936026936032,1318
0.050118604443060266,-0.8057239057239106,1263
0.08298365856262835,-12.032996632996637,1289
0.7471039808359156,-359.3314814814815,1804
0.7600668419054724,-354.85420875420874,1814
0.5679781086660863,-277.8132996632997,1665
0.44940869206301015,-197.1557239057239,1573
0.3938062255670587,-173.42239057239058,1530
0.2943197315773558,-118.20117845117845,1453
0.9396174606575359,-341.2829966329966,1953
0.9547829140038563,-341.4087542087542,1964
0.9723481075056075,-339.31784511784514,1978
0.18741313269892035,-60.3936026936027,1370
0.5249698099775997,-239.53299663299663,1631
0.3691006098830383,-158.46178451178451,1511
0.9258594983637791,-343.35723905723904,1942
0.04894384908586347,0.34124579124578636,1262
0.6617098924414845,-357.026936026936,1737
0.6396419863610522,-338.6496632996633,1720
0.11351443640395098,-22.09511784511785,1312
0.9535923934965602,-339.7481481481482,1964
0.9015714557516278,-340.8845117845118,1923
0.967436929693225,-339.35723905723904,1974
0.5875040804308727,-292.96632996632997,1680
0.6525770572544797,-353.0436026936027,1730
0.8939873194609307,-339.8132996632997,1917
0.753634993840106,-362.38602693602695,1809
0.6759522078770134,-369.46329966329967,1748
0.6126961211350803,-305.1845117845118,1699
0.754537481103676,-361.2739057239057,1809
0.5422013621626379,-252.80723905723906,1645
0.9010826500526682,-339.5405723905724,1923
0.007612774693094848,0.3760942760942712,1230
0.4179411358308285,-184.44814814814816,1548
0.19350327118736232,-59.83754208754209,1374
0.7759560108759436,-347.20420875420876,1826
0.7551342162035699,-359.746632996633,1810
0.727521550703303,-376.72239057239057,1788
0.31730700684461766,-134.68905723905723,1470
0.016604913568535773,-0.37239057239057727,1237
0.823674269327981,-343.8405723905724,1863
0.6082738382463896,-309.9526936026936,1696
0.00876701065488772,-2.139057239057244,1231
0.2204990605597552,-77.01329966329966,1395
0.47909514708853285,-216.1436026936027,1596
